,rank,tax_id,tax_name,colind,CC11CM15,CC11CM49,CC11CM87,CC11CM64,CC11CM85,CC11CM97,CC11CM80,CC11CM24,CC11CM41,CC11CM67,CC11CM6,CC11CM90,CC11CM18,CC11CM4,CC11CM13,CC11CM14,CC11CM51,CC11CM65,CC11CM74,CC11CM45,CC11CM50,CC11CM34,CC11CM84,CC11CM27,CC11CM78,CC11CM32,CC11CM81,CC11CM20,CC11CM75,CC11CM12,CC11CM28,CC11CM30,CC11CM68,CC11CM66,CC11CM58,CC11CM61,CC11CM22,CC11CM95,CC11CM17,CC11CM70,CC11CM86,CC11CM88,CC11CM54,CC11CM60,CC11CM16,CC11CM48,CC11CM35,CC11CM91,CC11CM1,CC11CM99,CC11CM72,CC11CM79,CC11CM94,CC11CM82,CC11CM93,CC11CM39,CC11CM42,CC11CM0,CC11CM76,CC11CM69,CC11CM2,CC11CM57,CC11CM63,CC11CM62,CC11CM44,CC11CM37,CC11CM33,CC11CM53,CC11CM9,CC11CM23,CC11CM55,CC11CM59,CC11CM73,CC11CM38,CC11CM25,CC11CM46,CC11CM5,CC11CM83,CC11CM11,CC11CM36,CC11CM26,CC11CM43,CC11CM8,CC11CM19,CC11CM3,CC11CM98,CC11CM77,CC11CM89,CC11CM10,CC11CM71,CC11CM21,CC11CM92,CC11CM29,CC11CM56,CC11CM52,CC11CM96,CC11CM47,CC11CM31,CC11CM40,CC11CM7
15,genus,816,Bacteroides,AGXS01000024.99853.101363,643.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,genus,375288,Parabacteroides,AGZQ01000007.3593.5107,1317.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2196.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,genus,216851,Faecalibacterium,AJ413954.1.1462,3233.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1176.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6378.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,genus,40544,Sutterella,AJ566849.1.1455,4878.0,,,,,,,,1837.0,,,,,,,,,,,,,,3410.0,,3365.0,,,,3436.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,971.0,2375.0,,,,,,,,,,,,,,,,,794.0,,,,,5741.0,,,,,,,,,,,,,182.0,,,,,,,
19,order,186802,Clostridiales,AQOB01000013.872.2389,107.0,,,,,,,,,145.0,,,,,,,,124.0,,167.0,161.0,,,,,,,,,,,122.0,,30.0,,,,,,,,,,,,,,,,,34.0,,,128.0,,41.0,,,,,,97.0,194.0,,,,,,,,,144.0,85.0,,55.0,,,,51.0,,,,,,,,,,,,,95.0,,,121.0,,,,,58.0
20,genus,848,Fusobacterium,ARMK01000003.40.1327,1813.0,,,,,,,,,,,,,,,,,,,,,,,780.0,,,,,,,,,,,,700.0,,,,,,,,,,774.0,,,,,,,,,,,,1483.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288.0,
21,genus,836,Porphyromonas,AWVE01000058.202.1721,947.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,genus,1301,Streptococcus,AY769997.1.1470,763.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,genus,816,Bacteroides,BAMF01000094.252.1758,2395.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,506.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,genus,904,Acidaminococcus,CP001859.380488.382032,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.0,,,140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,genus,816,Bacteroides,CP002352.203874.205386,1721.0,,,,,,,,,,,,,,,,,,,,,,59.0,,,,,,,,,,,,,,,,,,,,,,,709.0,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,genus,816,Bacteroides,CP002530.4225341.4226859,1103.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1289.0,,,,,,,,,,,,,,,,,3028.0,,,,,,,,,,,,,,,,,,,,,,,,,,
27,genus,1301,Streptococcus,DQ303185.1.1451,369.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,family,171552,Prevotellaceae,GU470887.1.1507,113.0,,,,932.0,,,,,,,,,,210.0,,,,,,,,,,,,73.0,,,,,478.0,593.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,698.0,,,,,,,731.0,,,,,,,,,,,,,,,,,,,,,,,,,,522.0,,
29,genus,122277,Pectobacterium,HQ449185.1.1524,8.0,,,,,,,,,,27.0,,,,2.0,,,,,47.0,,,,,,,,,,,,,12.0,,,,7.0,,,,,,,,31.0,,,,,6.0,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,27.0,,,
30,genus,1506553,Lachnoclostridium,JAGQ01000004.640699.642209,1190.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,genus,270497,Catabacter,JF514887.1.1258,11.0,,,,11.0,,,,,,,,,,,,,,,,3.0,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,19.0,,,19.0,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,genus,459786,Oscillibacter,JF750939.1.1409,647.0,,1024.0,1433.0,,,,815.0,,,,,,,,,,,,,,,,,,532.0,,,,58.0,,,,488.0,583.0,,,,,,,,,,232.0,,60.0,,380.0,,,,1287.0,202.0,,888.0,,,294.0,,,553.0,,,,,,,,,,,,,,187.0,,,,,,697.0,,,,,,,,,,,,,,,,,,615.0
33,genus,239759,Alistipes,JF824799.1.1423,597.0,,,,,,,,,,,,,,,,,,,,,4682.0,,,,,,,,,,,,,,,,,,,,,,,,,1682.0,,,135.0,,,,,,,,,,,,,,,1922.0,,,435.0,,,,,,,,,,,,,,,,,,,,,3310.0,,,,1398.0,2689.0,,,,,,
34,species,818,Bacteroides thetaiotaomicron,JN084203.1.1405,936.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,family,186803,Lachnospiraceae,JN093132.1.1351,1084.0,,,,,,,,,,696.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,genus,816,Bacteroides,JNHF01000162.805.2319,3965.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,species,45634,Streptococcus cristatus,JPEN01000064.172.1745,497.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3523.0,,,,,,,,,,,
38,genus,82976,Buttiauxella,KJ668603.1.1220,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,3.0,,,,,,,,,143.0,,,,,,,,,,,,,79.0,25.0,,,,,,,,,,,128.0,,,,,,,,,,72.0,,,,,,,,,,,,,,,,,,,,,,
39,species_group,1344959,Citrobacter freundii complex,KM515975.1.1368,18.0,,91.0,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,17.0,,23.0,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,53.0,,,,,,
40,family,186803,Lachnospiraceae,LC010692.1.1492,651.0,,,1785.0,,,,,,,523.0,623.0,281.0,,,108.0,,,,765.0,,,53.0,122.0,,,110.0,,,,,,1719.0,,,,3326.0,,,741.0,,,,,616.0,759.0,,,593.0,,,800.0,,,1740.0,,,,,594.0,,,1676.0,,,,,,,,,,581.0,,1483.0,,992.0,,1181.0,320.0,,,,85.0,,1724.0,613.0,,,,1060.0,,773.0,,,,,1351.0,495.0,
41,genus,1017280,Pseudoflavonifractor,NR_025670.1,12.0,,10.0,17.0,,12.0,5.0,11.0,,,,12.0,,9.0,,7.0,1.0,4.0,,,3.0,2.0,8.0,,,,,,,,,,,,,,13.0,,,,13.0,,4.0,,,,,,18.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,12.0,31.0,,3.0,3.0,3.0,,,,,,,,17.0,,6.0,,,,,,,,,,,6.0
42,genus,816,Bacteroides,NR_042499.1,582.0,2209.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2159.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1844.0,,,,,,,
43,genus,239759,Alistipes,NR_043318.1,1703.0,,,,,,,,,,,,2362.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,548.0,,,,,,,,,,,,,,1178.0,,,,,,,,,,,585.0,,,,,,,,,,,,,,,,,,,,,,,,,,
44,genus,572511,Blautia,NR_104687.1,391.0,,,1339.0,25.0,576.0,,,,,,3235.0,,,,,,1130.0,,2631.0,,,,,,,,,,,,598.0,687.0,,,,,,,,,,,,,1141.0,,,474.0,,,521.0,,,,,,,,,3489.0,2586.0,670.0,,473.0,,398.0,,,,,,891.0,,,,,,,,,,,,154.0,,,,,,,,,818.0,,298.0,,292.0,,
45,genus,830,Butyrivibrio,NR_104735.1,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.0,,,,,,,,,,,36.0,,,,,,,,188.0,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,3.0,,,,,,
46,family,186803,Lachnospiraceae,NR_104842.1,1013.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352.0,,1886.0,,,1112.0,1559.0,,,1070.0,131.0,,,,,,,,,,,,,,,,3041.0,,,,,3114.0,459.0,,,,,,,,,,,,,1339.0,,,532.0,,,,,,,,,,,,,,,,,,,,
47,genus,204475,Gemmiger,NR_104846.1,903.0,987.0,685.0,1688.0,2531.0,,,2119.0,499.0,704.0,1065.0,1093.0,1972.0,,787.0,2578.0,1071.0,1574.0,,644.0,1140.0,1192.0,663.0,1698.0,1705.0,248.0,4706.0,,604.0,1168.0,1296.0,1449.0,,1185.0,2162.0,2751.0,1761.0,2476.0,714.0,706.0,3963.0,2238.0,607.0,,,,3102.0,,2584.0,1608.0,1355.0,1233.0,3133.0,1081.0,,2407.0,1432.0,2284.0,164.0,1171.0,769.0,1423.0,61.0,3241.0,165.0,1304.0,913.0,506.0,1166.0,1320.0,1896.0,613.0,2007.0,,320.0,550.0,521.0,,613.0,1508.0,1249.0,1611.0,694.0,101.0,1240.0,,3.0,1306.0,305.0,3312.0,18.0,2871.0,3004.0,315.0,,,,2539.0,474.0,792.0
48,genus,838,Prevotella,NR_113097.1,177.0,,,,,,,,161.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1916.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,genus,572511,Blautia,NR_113231.1,979.0,,,,,,,,,,1799.0,778.0,,1214.0,,,,4696.0,,,1451.0,,,,351.0,,,,442.0,,87.0,,,1670.0,913.0,839.0,,461.0,,556.0,,,,,,569.0,,,,1755.0,,,2107.0,,,,205.0,,,,,1247.0,1115.0,,1184.0,,,,,,,,,431.0,,,,,3682.0,,,,,134.0,,,1374.0,,,,,,2658.0,1256.0,,,,603.0,1240.0,
50,genus,207244,Anaerostipes,NR_113319.1,292.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,819.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1660.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,family,186804,Peptostreptococcaceae,NR_113323.1,211.0,68.0,,,,,,,,,,,,,,,,315.0,,,,,,,,,,,,,,,,,,,,,,112.0,,,,,,,,,14.0,,,,,,,,,,,,,,307.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.0,,,,175.0,,,
52,genus,39948,Dialister,NR_113357.1,462.0,,,,820.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,family,186803,Lachnospiraceae,NR_116747.1,1620.0,,,1441.0,,289.0,,,,,,,1949.0,,,,,,,,,,1228.0,,,,,2656.0,,,,,,2089.0,,,,3165.0,,,1969.0,1203.0,,1894.0,,,,,,,,,,,,,,,,,,693.0,,,,,,921.0,,,,2320.0,,,,,,,,,,1108.0,,1842.0,,,,,,,,,1794.0,,,,1431.0,1323.0,18.0,
54,genus,1485,Clostridium,NR_117443.1,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,genus,162289,Peptoniphilus,NR_117566.1,4.0,,,,,,,,,,,,,,,,,,,,3.0,,,,,,5.0,,,,,,,,,,,,,5.0,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,genus,1350,Enterococcus,NR_117976.1,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,
57,genus,1348911,Coprobacter,NR_118316.1,650.0,,,,,,22.0,,,,,,,459.0,,,471.0,,,,,1094.0,,957.0,,968.0,,,,,,,,,,918.0,,,,,,,,,,,1622.0,,,,,213.0,,,,,,,,,,,,,,154.0,,,,829.0,,,424.0,63.0,,,,,542.0,,,,69.0,,,,1190.0,,,,,,,,,,,,,
58,genus,1392389,Intestinimonas,NR_118554.1,2.0,,,,,,,,,,,,,,,,,,,,,,17.0,,,,10.0,,,9.0,,,,,,,,,,,,28.0,,,,,,,,,,,,,13.0,,,5.0,,,,,,,,12.0,,18.0,,,,,,2.0,,,,,,,,,,,,4.0,,,9.0,,,,,,7.0,,,,21.0,
59,genus,1647175,Aestuariispira,NR_133689.1,1460.0,,,,2400.0,,1593.0,864.0,,,1529.0,2672.0,391.0,916.0,2864.0,,3628.0,1121.0,,,,,1166.0,,,25.0,,83.0,2284.0,877.0,1293.0,2406.0,,3954.0,33.0,2459.0,1273.0,1198.0,82.0,,,755.0,,,1870.0,,23.0,6379.0,,822.0,,1718.0,,,3463.0,,1179.0,,6025.0,494.0,296.0,1082.0,1793.0,2564.0,,,,2382.0,1208.0,402.0,,243.0,,,,900.0,,,113.0,,687.0,507.0,,,144.0,523.0,2034.0,,806.0,,37.0,1003.0,,1445.0,,,1684.0,,,884.0
60,genus,1649459,Hungatella,NR_133762.1,4.0,,20.0,,,7.0,1.0,2.0,4.0,,,,4.0,,,,13.0,,,,3.0,12.0,1.0,,1.0,2.0,7.0,,1.0,,,8.0,2.0,4.0,,,1.0,,9.0,,,,6.0,21.0,,6.0,11.0,6.0,,,9.0,,,,4.0,,,4.0,11.0,7.0,16.0,13.0,1.0,5.0,,6.0,8.0,4.0,1.0,2.0,6.0,11.0,,,,,,4.0,5.0,,,,6.0,,,1.0,,10.0,,2.0,3.0,,3.0,2.0,2.0,8.0,13.0,,1.0,12.0
61,genus,2147,Acholeplasma,U14905.1.1476,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,genus,33024,Phascolarctobacterium,X72867.1.1547,659.0,419.0,,489.0,332.0,,112.0,968.0,,,,500.0,,,,31.0,,789.0,,299.0,1122.0,,,,,,,,,,1107.0,,,331.0,,,154.0,,,,,880.0,644.0,41.0,490.0,,,810.0,,,,471.0,976.0,,,,,,,670.0,,,,,,422.0,,,,566.0,,,,,199.0,282.0,,,,547.0,,594.0,,,,,,,,,,,,362.0,183.0,,,613.0,,290.0
63,genus,1730,Eubacterium,X96961.1.1474,355.0,,,,,99.0,,,,,,,,,,763.0,,,,,,,,,,,,,,,,,,,,,,,,,,,861.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1036.0,,,667.0,
64,genus,1505663,Erysipelatoclostridium,Y18188.1.1489,158.0,,,,,,,,,,,,,,,136.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.0,,,,,,,,,,,,,,,,,,,,,,,
65,genus,816,Bacteroides,AB490802.1.1477,,825.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,980.0,,,,,,,,,,,,,,,,,,,,,990.0,,,,,,,2343.0,,,,,,,,71.0,,,,,,,2748.0,
66,genus,836,Porphyromonas,AB547659.1.1435,,105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,species,818,Bacteroides thetaiotaomicron,AB574480.1.1486,,1201.0,,,,,,,,,966.0,,,1022.0,,,,,,,,,,,,,321.0,,,,,,,,,,,,,,,,,,1385.0,,,,,,,,,,,,,,,1185.0,,,,,,,,,,,,,483.0,,,,,,,,2015.0,,,,,,,,,,,,,,,,,,,
68,genus,816,Bacteroides,AB626629.1.1489,,1416.0,,,,,,,,,,,,,,,,,,,,918.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5267.0,,,,,,,48.0,,,,,928.0,,,
69,family,186803,Lachnospiraceae,AB698914.1.1392,,470.0,,,,650.0,,,128.0,,,,200.0,,,,,126.0,,221.0,,,,,,,,,,,227.0,319.0,,,,,,,,,,,,426.0,,,,,,,53.0,92.0,,,,,,,281.0,,,,,46.0,,14.0,265.0,,,,68.0,94.0,,,73.0,,,,45.0,235.0,,,,,82.0,,382.0,,,,360.0,,337.0,147.0,,56.0,30.0,50.0,,
70,genus,1506553,Lachnoclostridium,AB702934.1.1497,,1922.0,,,1788.0,,,,,,,,,,,,,,1636.0,,,,1565.0,,,,,,,,,1031.0,,,130.0,334.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,428.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1148.0,,,
71,species_group,1344959,Citrobacter freundii complex,AB741687.1.1324,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,genus,207244,Anaerostipes,ABAX03000023.15601.17123,,100.0,,,,,,,,,,,775.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1210.0,,,,,1182.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,592.0,,,
73,family,171552,Prevotellaceae,ACIJ02000018.407302.408819,,747.0,,,,,,,,,,,,,,617.0,,,,256.0,,,,,,,,,,,,,,,,,701.0,,,,,,,,1668.0,,2712.0,436.0,41.0,656.0,,,,1357.0,,,,,,,2637.0,,,,,,,,,,,,,731.0,919.0,,,,373.0,,,,,418.0,,,938.0,1431.0,52.0,,,,,1357.0,,,,,,
74,genus,239759,Alistipes,ADLD01000012.328.1844,,3143.0,,,,,,,249.0,,,,,,,,,,,,,,,,,,7259.0,,,,,,,,,,,,,7103.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,genus,872,Desulfovibrio,AF053752.1.1540,,129.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,genus,906,Megasphaera,AF473834.1.1411,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,
